,Descripcion,Familia,Codigos donde esta duplicado
340,CAPOT TY HILUX KUN,TOY,00073443 - 00075584
341,MANILLA INTERIOR HYUNDAI MIGHTY,VARIOS ,00087022 - 00087023
342,PAST FRENO PP2755 TOY HILUX,PASTILLA FRENO,00029852 - 00081347
343,FILTRO AIRE T60,ROTACION ,00007461 - 00007496 - 00008041
344,TUERCA SEG PLAST 1/4 NC,TUERCAS,00011121 - 00106176
345,BOMBA EMBRAGUE NISSAN D22,NISSAN,00079766 - 00080233 - 00099550
346,BOBINA,ELECTRICO,00001909 - 00200825 - 00201103
347,OPTICO RH,ENCARGO,00200542 - 00200679 - 00200894
348,TAPABARRO DELANTERO RH TOYOTA HILUX,TOY,00069242 - 00092974
349,VOLANTE DEPORT ROJO PU,ACCESORIOS,00026041 - 00036021
