,Descripcion,Familia,Codigos donde esta duplicado
50,JUEGO PEDALERA SILVER,ACCESORIOS,00001137 - 00036090
51,JUEGO PISTONES STD,MAZDA,00018840 - 00201039
52,MASCARA GRIS OSCURA TY HILUX KUN,TOY,00072954 - 00073469
53,PORTA CARBON ALTERNADOR 12V,ELECTRICO,00025804 - 00097429
54,MANO ACOPLE AUTOMATICA SIST.KNORR/WABCO,VARIOS ,00086417 - 00086418 - 00086419
55,TAPABARRO DELANTERO LH TOYOTA HILUX,TOY,00082514 - 00082778 - 00092973
56,FAROL TRAS LH TOY HILUX KUN 05/11,TOY,00019459 - 00037186
57,PARACHO DELANTERO,ENCARGO,00200793 - 00200951
58,C 2500 KENDALL,FILTROS,00061089 - 00071793
59,INTERRUP LUZ INT M.BENZ MARILIA,M.BENZ,00027452 - 00027453
60,OPTICO SIN ANTINIEBLA RH KIA FRONTIER,KIA,00075068 - 00075069
61,PIOLA CUENTA KILOMETROS TOYOTA HILUX,TOY,00084942 - 00084943
62,TAMBOR FRENO TOY HILUX,TOY,00002672 - 00097949
63,GOMA PUNTA B/ESTAB FIAT FIORINO 89/95,FIAT,00048571 - 00048573
64,FILTRO ACEITE CHEVROLET D-MAX,FILTROS,00068217 - 00084268
65,GUIA CADENA DISTR HY NEW ACCENT 1.5 CRDI,HYUN,00051041 - 00051042
66,BOMBA ACEITE FIAT 125,FIAT,00015206 - 00030094
67,GOMA ANIL CIL10 FRENO 1.1/8 SEIKEN,GOMAS VARIAS,00034036 - 00034037
68,RODAMIENTO,RODAMIENTOS,00087545 - 00200991 - 00200992
69,SACO ARPILLERA,HERR.OTRAS MARCAS,00042251 - 00102207
70,CORREA 6PK1715,CORREAS,00017194 - 00098539
71,EMPAQUETADURA MOTOR MAZDA ARTIS,ROTACION ,00011742 - 00014599
72,FILTRO ACEITE CADENZA,FILTROS,00088116 - 00088146
73,FILTRO DE ACEITE,ROTACION ,00018125 - 00112201
74,ESPEJO PUNTO CIEGO,ACCESORIOS,00062938 - 00064934
75,BOBINA ELECT 4 SALIDAS CIT XSARA,ELECTRICO,00076790 - 00076791
76,PARACHOQUE DELANTERO FUNDA CON MOLDURA TOYOTA HILU,TOY,00083028 - 00085371
77,CADENA DISTRIBUCION NIS V16,NISSAN,00078119 - 00078120
78,PORTA CARBON 12V,ELECTRICO,00044048 - 00056361 - 00084167 - 00086968 - 00087717
79,PIOLA EMB SUZ MARUTI,SUZUKI,00041208 - 00041504
80,TERMINAL LUCAS C/F MACHO 3M AMBAR,ELECTRICO,00000354 - 00000357
81,DISCO EMBRAGUE GRAN NOMADE,SUZUKI,00014386 - 00081897
82,TUERCA RUEDA 14 X 1.5 HEX KIA CERES 4WD,TUERCA RUEDA,00058619 - 00058620
83,RESISTENCIA E/VENTILADOR AIRE ACONDICIONADO PEUGEO,PEUG,00080286 - 00080287
84,PAST FRENO PP5105 FORD,PASTILLA FRENO,00029593 - 00051154
85,GOMA BARRA ESTAB NISSAN TERRANO,NISSAN,00031685 - 00064576
86,TERMOSTATO HYUN 82.0 54MM H100/L200/300 2551042010,HYUN,00033162 - 00038370
87,PAST FRENO PP5108 FORD EXPLORER,PASTILLA FRENO,00020333 - 00029571
88,PORTA CARBON ARRANQ 12V,ELECTRICO,00038081 - 00038350
89,LLAVE SACA FILTRO CADENA TW,HERR.AUTOMOTRIZ,00000219 - 00035710
90,AMORT CHEV S10/APACHE TRAS RH/LH (GAS),CHEVROLET,00065783 - 00065834
91,REJILLA PARACHOQUE DEL SZ SWIFT 05-,SUZUKI,00071967 - 00071968
92,OPTICO RH TOYOTA YARIS,TOY,00063433 - 00084246
93,CORREA 4PK935,CORREAS,00017013 - 00098038
94,FAROL TRASERO LH ACTYON SPORT,SSANGYONG,00080661 - 00093313
95,VW AMAROK AMORTIGUADOR DEL,VW,00003368 - 00003373
96,BOMBA AGUA TOY GWT-96A HILUX 2RZFE/3RZFE,TOY,00048457 - 00059719
97,1,SAMSUNG,00038988 - 00042667
98,HOMOCINETICA L/R LH/RH NIS V16,NISSAN,00058775 - 00058776
99,ROD 6307 2RS KML,RODAMIENTOS,00033531 - 00036760
100,CAJA REGULADORA 12V,ELECTRICO,00043943 - 00080087 - 00080141 - 00080292 - 00080391 - 00081052 - 00082145 - 00085427 - 00086672 - 00087557 - 00097781 - 00097782 - 00098139 - 00099424
101,FILTRO PETROLEO T60,ROTACION ,00007460 - 00008040
102,TERMINAL DIRECC EXT RH/LH HONDA CRV 2.4 02/06,HONDA,00066011 - 00066033
103,C 27019,ROTACION ,00007102 - 00013364
104,TAPA VALVULA HS 4PZS,ACCESORIOS,00048952 - 00048953
105,KIT DISTRIBUCION COMPLETO  AMAROK,VW,00091341 - 00091342
106,EMPAQ CULATA METALICA HYUN ACCENT,HYUN,00066058 - 00068480
107,BANDEJA SUSPENSION RH INFERIOR COMPLETA HONDA CIVI,HONDA,00084290 - 00085192
108,CORREA DISTRIB 103 MR25 SUZUKI BALENO 1.6 VITARA S,SUZUKI,00030787 - 00040704 - 00041120
109,PARACHOQUE DEL,ENCARGO,00202523 - 00203759
110,RETEN 25X35X6,RETENES,00023309 - 00023310
111,ESPEJO PUERTA NEGRO RH TOYOTA HILUX,HYUN,00080279 - 00082166
112,PINON EJE LEVA TY YARIS,TOY,00051945 - 00051946
113,AMORTIGUADOR DELANTERO RH GAS PEUGEOT 208,PEUG,00082970 - 00087893
114,PASTILLA FRENO AUDI PP2404,PASTILLA FRENO,00075622 - 00089098
115,CRUCETA TOYO 25X64,REP VARIOS,00051369 - 00051380
116,EMBLEMA NISSAN,ACCESORIOS,00013980 - 00013983
