,Codigo,Tipo error,Descripcion,I.Industrial,I.La Serena,I.Matriz,I.Bodega,Ult. fecha compra,Ult.fecha venta
1508,00005616,Letras y numeros,P 17427,,,,,,
1509,00005617,Letras y numeros,P 19203,,,,,,
1510,00005618,Letras y numeros,P 22577,,,,,,
1511,00005619,Letras y numeros,PF 815k,,,,,,
1512,00005620,Letras y numeros,PF 915n,,,,,,
1513,00005621,Letras y numeros,PF 925,,,,,,
1514,00005622,Letras y numeros,PF 1025,,,N,,,
1515,00005623,Letras y numeros,PF 1025f,,,,,,
1516,00005624,Letras y numeros,PF 1025n,,,,,,
1517,00005625,Letras y numeros,PF 1025X,,,N,,,07/02/2017
1518,00005626,Letras y numeros,PF 1025t,,,N,,,29/08/2013
1519,00005627,Letras y numeros,PF 1040x,,,N,,,
1520,00005630,Letras y numeros,PF 1140,,,,,,
1521,00005631,Letras y numeros,PF 1155x,,,N,,,06/04/2022
1522,00005633,Letras y numeros,PF 1280,,,,,,
1523,00005634,Letras y numeros,PF 1552,,,N,,,29/11/2013
1524,00005635,Letras y numeros,PF 16190,,,,,,
1525,00005636,Letras y numeros,PF 16200x,,,,,,
1526,00005637,Letras y numeros,PF 16500x,,N,,,,16/09/2021
1527,00005638,Letras y numeros,PF 19226x,,,,,,
1528,00005639,Letras y numeros,PF 19326x,,,,,,
1529,00005648,Letras y numeros,W 67/10,,,N,S,,05/12/2016
1530,00005654,Letras y numeros,W 77/10,,,N,S,,10/06/2016
1531,00005676,Letras y numeros,W 713/50,,,,S,,
1532,00005678,Letras y numeros,W 719,,S,N,S,,11/11/2019
1533,00005692,Letras y numeros,W 818/12,,,N,S,18/05/2020,
1534,00005701,Letras y numeros,W 914/12,,,,S,,
1535,00005712,Letras y numeros,W 920/30,,,N,S,,24/11/2021
1536,00005715,Letras y numeros,W 920/45,,,,S,,
1537,00005717,Letras y numeros,W 920/66,,S,N,S,,01/09/2022
1538,00005723,Letras y numeros,W 927,,,N,S,,17/05/2021
1539,00005728,Letras y numeros,W 930/13,,,,S,,
1540,00005730,Letras y numeros,W 930/30,,,,S,,
1541,00005731,Letras y numeros,W 930/50,,,,S,,
1542,00005759,Letras y numeros,W 950/31,,,,S,,
1543,00005765,Letras y numeros,W 962/9,,,,S,,
1544,00005768,Letras y numeros,W 962/15,,,,S,,
1545,00005769,Letras y numeros,W 962/52,,,,S,,
1546,00005770,Letras y numeros,W 712/7,,,N,S,,12/12/2014
1547,00005772,Letras y numeros,W 1021/10,,,,S,,
1548,00005773,Letras y numeros,W 1021/20,,,,S,,
1549,00005774,Letras y numeros,W 1021/30,S,,N,S,,19/08/2019
1550,00005779,Letras y numeros,W 1122/1,,,N,S,,27/02/2014
1551,00005781,Letras y numeros,W 1126/5,,,,S,,
1552,00005789,Letras y numeros,W 1144,,,N,S,,13/10/2017
1553,00005791,Letras y numeros,W 1158,,,,S,,
1554,00005797,Letras y numeros,W 1168/20,,S,N,S,25/02/2016,
1555,00005800,Letras y numeros,W 1170/10,,,,S,,
1556,00005801,Letras y numeros,W 1172,,,,S,,
1557,00005806,Letras y numeros,W 1275,,,N,S,,23/03/2018
1558,00005808,Letras y numeros,W 1290,,,,S,,
1559,00005809,Letras y numeros,W 1290/1,,,N,S,,
1560,00005812,Letras y numeros,W 1355,,,,S,,
1561,00005814,Letras y numeros,W 1359/1,,,,S,,
1562,00005815,Letras y numeros,W 1361,,,N,S,,04/09/2012
1563,00005817,Letras y numeros,W 1396,,,,S,,
1564,00005823,Letras y numeros,W 11102/9,,,N,S,,09/05/2017
1565,00005836,Letras y numeros,WA 940/2,,,N,,,
1566,00005837,Letras y numeros,WA 940/10,,,N,,,
1567,00005838,Letras y numeros,WA 956,,,N,,,03/02/2016
1568,00005839,Letras y numeros,WA 1113,,,N,,,
1569,00005840,Letras y numeros,WA 1122,,,N,,,
1570,00005841,Letras y numeros,WA 1162,,,N,,,
1571,00005843,Letras y numeros,WD 925,,,N,,,
1572,00005844,Letras y numeros,WD 920,,,N,,,07/02/2023
1573,00005847,Letras y numeros,WD 950/2,,,N,,,
1574,00005848,Letras y numeros,WD 950/3,,,N,,,12/12/2014
1575,00005850,Letras y numeros,WD 962/30,,,N,,18/01/2010,
1576,00005851,Letras y numeros,WD 962/40,,,N,,,
1577,00005852,Letras y numeros,WD 1171,,,N,,,
1578,00005853,Letras y numeros,WD 13145,,N,N,,,17/06/2017
1579,00005854,Letras y numeros,WD 13145/10,,,N,,,
1580,00005855,Letras y numeros,WK 7,,,,S,,
1581,00005856,Letras y numeros,WK 10,,,,S,,
1582,00005865,Letras y numeros,WK 29/33,,N,N,S,,05/02/2019
1583,00005869,Letras y numeros,WK 29/57,,,,S,,
1584,00005875,Letras y numeros,WK 43/8,,,,S,,
1585,00005886,Letras y numeros,WK 76/5,,N,N,S,,08/02/2019
1586,00005917,Letras y numeros,WK 614/4,,,N,S,,16/09/2014
1587,00005938,Letras y numeros,WK 714/20,,,,S,,
1588,00005947,Letras y numeros,WK 756,,,N,S,,09/03/2012
1589,00005951,Letras y numeros,WK 800/2,,,,S,,
1590,00005962,Letras y numeros,WK 842/1,,N,N,S,,30/06/2015
1591,00005967,Letras y numeros,WK 845,,,,S,,
1592,00005969,Letras y numeros,WK 853,,,N,S,,22/03/2013
1593,00005977,Letras y numeros,WK 917/3,,,,S,,
1594,00005982,Letras y numeros,WK 925,,,N,S,23/03/2013,
1595,00005983,Letras y numeros,WK 925/1,,,,S,,
1596,00005994,Letras y numeros,WK 940/33,,,,S,,
1597,00005998,Letras y numeros,WK 945,,,,S,,
1598,00006003,Letras y numeros,WK 950/30,,,N,S,,20/12/2017
1599,00006026,Letras y numeros,WK 1166,,,,S,,
1600,00006028,Letras y numeros,WK 1284,,,,S,,
1601,00006037,Letras y numeros,WP 929,,,N,,,
1602,00006038,Letras y numeros,WP 930,,,N,,,
1603,00006040,Letras y numeros,WP 940,,,N,,,19/10/2011
1604,00006048,Letras y numeros,WP 1156,,,N,S,,09/04/2022
1605,00006051,Letras y numeros,WP 1284,,,N,,,
1606,00006152,Letras y numeros,C 2510/1,,,N,,23/07/2019,
1607,00011451,Letras y numeros,PU 7004z,,,N,,16/04/2019,
1608,00013755,Letras y numeros,C 3307/1,,,N,,23/03/2020,
1609,00014431,Letras y numeros,NO USAR,,,N,,,16/03/2013
