,Codigo,Tipo error,Descripcion,I.Industrial,I.La Serena,I.Matriz,I.Bodega,Ult. fecha compra,Ult.fecha venta
401,00004085,Letras y numeros,C 3042,,,,,,
402,00004086,Letras y numeros,C 3042/1,,,,,,
403,00004087,Letras y numeros,C 3046,,,,,,
404,00004088,Letras y numeros,C 3050,,,N,S,,09/03/2018
405,00004090,Letras y numeros,C 3061,,,N,S,,03/02/2021
406,00004094,Letras y numeros,C 3143/10,,,,,,
407,00004095,Letras y numeros,C 3152,,N,,,22/02/2017,
408,00004096,Letras y numeros,C 3161,,,,,,
409,00004100,Letras y numeros,C 3175/1,,,,,,
410,00004102,Letras y numeros,C 3184,,,,,,
411,00004104,Letras y numeros,C 3224,,,,,,
412,00004107,Letras y numeros,C 3239,,,N,S,,28/05/2015
413,00004108,Letras y numeros,C 3253,,,,,,
414,00004109,Letras y numeros,C 3254,,,,,,
415,00004110,Letras y numeros,C 3255,,,,S,,
416,00004111,Letras y numeros,C 3257,,,,,,
417,00004112,Letras y numeros,C 3260,,,,,,
418,00004115,Letras y numeros,C 3329,,,,S,,
419,00004116,Letras y numeros,C 3336/1,,,,,,
420,00004119,Letras y numeros,C 3361,,,,,,
421,00004122,Letras y numeros,C 3381,,,,,,
422,00004123,Letras y numeros,C 3394,,,,,,
423,00004125,Letras y numeros,C 3451,,,N,,,17/01/2012
424,00004126,Letras y numeros,C 3456,,,,,,
425,00004127,Letras y numeros,C 3463,,,,,,
426,00004128,Letras y numeros,C 3466,,,,,,
427,00004133,Letras y numeros,C 3534,,,,,,
428,00004134,Letras y numeros,C 3553,,,,,,
429,00004135,Letras y numeros,C 3555,,,,,,
430,00004136,Letras y numeros,C 3566,,,,,,
431,00004138,Letras y numeros,C 3669,,,N,,,07/09/2017
432,00004139,Letras y numeros,C 3692,,,,,,
433,00004140,Letras y numeros,C 3698,,,,,,
434,00004141,Letras y numeros,C 3698/2,,,N,,19/10/2017,
435,00004142,Letras y numeros,C 3734/1,,,,,,
436,00004143,Letras y numeros,C 3770,,,,,,
437,00004146,Letras y numeros,C 3871,,,,,,
438,00004150,Letras y numeros,C 4190/1,,,N,,19/10/2017,
439,00004153,Letras y numeros,C 4373/1,,,,,,
440,00004155,Letras y numeros,C 11110,,,,,,
441,00004156,Letras y numeros,C 11136,,,N,,,05/08/2015
442,00004158,Letras y numeros,C 12085,,,,,,
443,00004164,Letras y numeros,C 12108,,,,,,
444,00004165,Letras y numeros,C 12109,,,N,,,27/10/2020
445,00004166,Letras y numeros,C 12110,,,,,,
446,00004167,Letras y numeros,C 12110,,,,,,
447,00004169,Letras y numeros,C 12121,,,,,,
448,00004170,Letras y numeros,C 12262,,,,,,
449,00004171,Letras y numeros,C 13102,,,,,,
450,00004173,Letras y numeros,C 13103/10,,,,,,
451,00004176,Letras y numeros,C 13109,,,,,,
452,00004177,Letras y numeros,C 13110,,S,,,,10/12/2019
453,00004178,Letras y numeros,C 13111,,,N,,,26/10/2011
454,00004184,Letras y numeros,C 13125,,,,,,
455,00004186,Letras y numeros,C 13134,,,,,,
456,00004187,Letras y numeros,C 13135,,,N,,,29/05/2020
457,00004188,Letras y numeros,C 13142,,,,S,,
458,00004189,Letras y numeros,C 13145,,,,,,
459,00004191,Letras y numeros,C 13147,,,,,11/02/2010,
460,00004192,Letras y numeros,C 13148,,,,,,
461,00004194,Letras y numeros,C 13152,,,,,,
462,00004198,Letras y numeros,C 14109,,,,,,
463,00004199,Letras y numeros,C 14121,,,,,,
464,00004201,Letras y numeros,C 14148,,,,,,
465,00004202,Letras y numeros,C 14156,,,,,,
466,00004203,Letras y numeros,C 14166,,,,,,
467,00004204,Letras y numeros,C 14166/1,,,,,,
468,00004211,Letras y numeros,C 14189,,,,,,
469,00004213,Letras y numeros,C 14195,,,,,,
470,00004216,Letras y numeros,C 14201,,,,,,
471,00004217,Letras y numeros,C 14206,,,,,,
472,00004221,Letras y numeros,C 15116,,,,,,
473,00004222,Letras y numeros,C 15116,,,,,,
474,00004223,Letras y numeros,C 15118,,,,,,
475,00004225,Letras y numeros,C 15120,,,,,,
476,00004226,Letras y numeros,C 15121,,,,,,
477,00004227,Letras y numeros,C 15121/1,,,,,,
478,00004228,Letras y numeros,C 15122/10,,,,,,
479,00004230,Letras y numeros,C 15123,,,,,,
480,00004232,Letras y numeros,C 15124/1,,,,,,
481,00004234,Letras y numeros,C 15132,,,,,,
482,00004236,Letras y numeros,C 15144,,,,,,
483,00004238,Letras y numeros,C 15147,,,,,20/04/2010,
484,00004240,Letras y numeros,C 15165,,,,,,
485,00004244,Letras y numeros,C 15248,,,,,,
486,00004248,Letras y numeros,C 16113,,,N,,03/03/2014,
487,00004249,Letras y numeros,C 16121,,,,,,
488,00004258,Letras y numeros,C 16144,,,,,,
489,00004259,Letras y numeros,C 16146,,,,,,
490,00004261,Letras y numeros,C 16147,,,,,,
491,00004263,Letras y numeros,C 16153,,,,,,
492,00004264,Letras y numeros,C 16158,,,,,,
493,00004270,Letras y numeros,C 16164,,,,,,
494,00004271,Letras y numeros,C 16175,,,,,,
495,00004274,Letras y numeros,C 16180,,,,,,
496,00004275,Letras y numeros,C 16181,,,,,,
497,00004276,Letras y numeros,C 16181/1,,,,,,
498,00004278,Letras y numeros,C 16200,,,,,,
499,00004281,Letras y numeros,C 16216,,,,,,
500,00004284,Letras y numeros,C 16223,,,,,,
501,00004285,Letras y numeros,C 16225,,S,,,,
502,00004288,Letras y numeros,C 16226/1,,,,,,
503,00004292,Letras y numeros,C 16247,,,,,,
504,00004293,Letras y numeros,C 16247/1,,,,,,
505,00004295,Letras y numeros,C 16279,,,,,,
506,00004296,Letras y numeros,C 16296,,,N,,,08/11/2012
507,00004298,Letras y numeros,C 16298/1,,,,,,
508,00004300,Letras y numeros,C 16334,,,,,,
509,00004303,Letras y numeros,C 16349,,,,,,
510,00004304,Letras y numeros,C 16349/1,,,,,,
511,00004306,Letras y numeros,C 17100,,,,,,
512,00004308,Letras y numeros,C 17124,,,,,,
513,00004309,Letras y numeros,C 17124,,,,,,
514,00004310,Letras y numeros,C 17129,,,N,,,18/08/2014
515,00004312,Letras y numeros,C 17140,,,,,,
516,00004313,Letras y numeros,C 17146,,,,,,
517,00004314,Letras y numeros,C 17154,,,,,,
518,00004315,Letras y numeros,C 17160,,,N,,,18/04/2018
519,00004317,Letras y numeros,C 17201/2,,,N,,,26/09/2014
520,00004319,Letras y numeros,C 17225,,,N,,,29/12/2015
521,00004321,Letras y numeros,C 17250,,,,,,
522,00004322,Letras y numeros,C 17262,,,,,,
523,00004323,Letras y numeros,C 17262/1,,,,,,
524,00004326,Letras y numeros,C 17341,,,,,,
525,00004327,Letras y numeros,C 17343,,,,,,
526,00004328,Letras y numeros,C 17404/1,,,,,,
527,00004329,Letras y numeros,C 17454,,,,,,
528,00004334,Letras y numeros,C 18200,,,N,,,16/09/2013
529,00004336,Letras y numeros,C 18235,,,,,,
530,00004338,Letras y numeros,C 18253,,,,,,
531,00004340,Letras y numeros,C 18288,,,,,,
532,00004342,Letras y numeros,C 18292,,,,,,
533,00004343,Letras y numeros,C 18304,,,,,,
534,00004345,Letras y numeros,C 18328,,,,,,
535,00004347,Letras y numeros,C 18427,,,,,,
536,00004348,Letras y numeros,C 18435,,,,,,
537,00004350,Letras y numeros,C 18436/1,,,,,,
538,00004352,Letras y numeros,C 19105,,,,,,
539,00004354,Letras y numeros,C 19113,,,,,,
540,00004355,Letras y numeros,C 19118,,,,,,
541,00004359,Letras y numeros,C 19140,,,,,,
542,00004361,Letras y numeros,C 19157,,,,,,
543,00004363,Letras y numeros,C 19159,,,,,,
544,00004365,Letras y numeros,C 19184,,,,,,
545,00004367,Letras y numeros,C 19194,,,,,,
546,00004369,Letras y numeros,C 19198,,,,,,
547,00004371,Letras y numeros,C 19200/1,,,N,,,03/02/2020
548,00004373,Letras y numeros,C 19218,,,,,,
549,00004376,Letras y numeros,C 19297,,,,,,
550,00004379,Letras y numeros,C 19335,,,,,,
551,00004380,Letras y numeros,C 19345,,,,,,
552,00004381,Letras y numeros,C 19377,,,,,,
553,00004382,Letras y numeros,C 19449,,,,,,
554,00004384,Letras y numeros,C 19568,,,,,,
555,00004385,Letras y numeros,C 19610,,,,,,
556,00004386,Letras y numeros,C 19752,,,,,,
557,00004387,Letras y numeros,C 20103,,,,,,
558,00004388,Letras y numeros,C 20105,,,,,,
559,00004389,Letras y numeros,C 20111,,,,,,
560,00004392,Letras y numeros,C 20142,,,,,,
561,00004394,Letras y numeros,C 20161,,,,,,
562,00004396,Letras y numeros,C 20168,,,,,,
563,00004398,Letras y numeros,C 20175,,,,,,
564,00004399,Letras y numeros,C 20187,,,,S,,
565,00004401,Letras y numeros,C 20187/1,,,,,,
566,00004404,Letras y numeros,C 20212/1,,,,,,
567,00004406,Letras y numeros,C 20214,,,,,,
568,00004409,Letras y numeros,C 20270,,,,,,
569,00004415,Letras y numeros,C 20401,,,N,,,19/12/2012
570,00004416,Letras y numeros,C 20436,,,,,,
571,00004417,Letras y numeros,C 20438,,,,,,
572,00004420,Letras y numeros,C 20457/10,,,,,,
573,00004422,Letras y numeros,C 20506,,,,,,
574,00004423,Letras y numeros,C 20514,,,,,,
575,00004424,Letras y numeros,C 20550,,,,,,
576,00004425,Letras y numeros,C 20556,,,,,,
577,00004426,Letras y numeros,C 20855/1,,,,,,
578,00004428,Letras y numeros,C 21138/1,,,,,,
579,00004431,Letras y numeros,C 21185,,,,S,,
580,00004432,Letras y numeros,C 21217,,,,,,
581,00004434,Letras y numeros,C 21229,,,,,,
582,00004435,Letras y numeros,C 21247,,,N,,,21/11/2016
583,00004436,Letras y numeros,C 21259,,,,,,
584,00004439,Letras y numeros,C 21338,,,N,,,
585,00004440,Letras y numeros,C 21402,,,,,,
586,00004441,Letras y numeros,C 21416,,,,,,
587,00004442,Letras y numeros,C 21425,,,N,S,,22/03/2013
588,00004444,Letras y numeros,C 21432,,,N,S,,29/02/2012
589,00004446,Letras y numeros,C 21466,,,,,,
590,00004447,Letras y numeros,C 21480,,,,,,
591,00004449,Letras y numeros,C 21503,,,,,,
592,00004452,Letras y numeros,C 21696,,,,,,
593,00004457,Letras y numeros,C 22205,,,N,,,01/12/2020
594,00004458,Letras y numeros,C 22224,,,,,,
595,00004459,Letras y numeros,C 22228,,,,,,
596,00004461,Letras y numeros,C 22249,N,,,,,
597,00004463,Letras y numeros,C 22300,,,,,,
598,00004464,Letras y numeros,C 22341,,,,,,
599,00004466,Letras y numeros,C 22423,,,,,,
600,00004467,Letras y numeros,C 22439,,,,,,
601,00004468,Letras y numeros,C 22479,,,,,,
602,00004469,Letras y numeros,C 22558,,,,,,
603,00004470,Letras y numeros,C 22595,,,,,,
604,00004471,Letras y numeros,C 22617,,,,,,
605,00004472,Letras y numeros,C 22618,,,,,,
606,00004473,Letras y numeros,C 22663,,,,,,
607,00004474,Letras y numeros,C 22838/1,,,,,,
608,00004475,Letras y numeros,C 22894,,,,,,
609,00004479,Letras y numeros,C 23110,,,,,,
610,00004480,Letras y numeros,C 23112,,S,,,,
611,00004481,Letras y numeros,C 23115,,,,,,
612,00004485,Letras y numeros,C 23135/1,,,,,,
613,00004487,Letras y numeros,C 23174,,,,,,
614,00004488,Letras y numeros,C 23185,,,,,,
615,00004489,Letras y numeros,C 23202,,,,,,
616,00004490,Letras y numeros,C 23203,,,N,,,17/11/2018
617,00004491,Letras y numeros,C 23249/1,,,,,,
618,00004493,Letras y numeros,C 23259,,,,,,
619,00004494,Letras y numeros,C 23290,,,,,,
620,00004495,Letras y numeros,C 23326,,,,,,
621,00004496,Letras y numeros,C 23368,,,,,,
622,00004497,Letras y numeros,C 23411,,,,,,
623,00004498,Letras y numeros,C 23437,,,,,,
624,00004501,Letras y numeros,C 23440/2,,,,,,
625,00004502,Letras y numeros,C 23502,,,,,,
626,00004505,Letras y numeros,C 23551,,,,,,
627,00004507,Letras y numeros,C 23579,,,,,,
628,00004508,Letras y numeros,C 23584,,,,,,
629,00004509,Letras y numeros,C 23585,,,,,,
630,00004511,Letras y numeros,C 23609,,S,,,,16/11/2016
631,00004513,Letras y numeros,C 23626,,,,,,
632,00004515,Letras y numeros,C 23690,,,,,,
633,00004516,Letras y numeros,C 23692,,,,,,
634,00004517,Letras y numeros,C 23725,,,,,,
635,00004518,Letras y numeros,C 23725/1,,,,,,
636,00004520,Letras y numeros,C 23726,,,,,,
637,00004521,Letras y numeros,C 23753,,,,,,
638,00004523,Letras y numeros,C 23904,,,,,,
639,00004524,Letras y numeros,C 23946,,,,,,
640,00004525,Letras y numeros,C 23956,,,,,,
641,00004526,Letras y numeros,C 24124,,,,,,
642,00004528,Letras y numeros,C 24187,,,,,,
643,00004529,Letras y numeros,C 24188,,,,,,
644,00004532,Letras y numeros,C 24250,,,,,,
645,00004533,Letras y numeros,C 24261,,,,,,
646,00004534,Letras y numeros,C 24355,,,,,,
647,00004535,Letras y numeros,C 24363,,,,,,
648,00004536,Letras y numeros,C 24393,,,,,,
649,00004540,Letras y numeros,C 24508,,,,,,
650,00004541,Letras y numeros,C 24516,,N,N,,,03/06/2015
651,00004542,Letras y numeros,C 24524,,,,,,
652,00004543,Letras y numeros,C 24524/1,,,,,,
653,00004544,Letras y numeros,C 24640,,,,,,
654,00004548,Letras y numeros,C 24786,,,,,,
655,00004550,Letras y numeros,C 24855,,,,,,
656,00004551,Letras y numeros,C 24870,,,,,,
657,00004552,Letras y numeros,C 24989,,,,,,
658,00004555,Letras y numeros,C 25114,,,,,,
659,00004556,Letras y numeros,C 25116,,,,,,
660,00004560,Letras y numeros,C 25126/10,,,,,,
661,00004561,Letras y numeros,C 25183,,,,,,
662,00004562,Letras y numeros,C 25187,,,,,,
663,00004563,Letras y numeros,C 25192,,,,,,
664,00004564,Letras y numeros,C 25218,,,,,,
665,00004565,Letras y numeros,C 25601,,,,,,
666,00004566,Letras y numeros,C 25660/1,,,,,,
667,00004567,Letras y numeros,C 25710/3,,,,,,
668,00004568,Letras y numeros,C 25730,,,,,,
669,00004569,Letras y numeros,C 25854,,,,,,
670,00004570,Letras y numeros,C 25860,,,,,,
671,00004571,Letras y numeros,C 25860/3,,,,,,
672,00004574,Letras y numeros,C 26111,,,,,,
673,00004575,Letras y numeros,C 26134,,,,,,
674,00004576,Letras y numeros,C 26136,,,,,,
675,00004577,Letras y numeros,C 26136/1,,,,,,
676,00004579,Letras y numeros,C 26153,,,,,,
677,00004580,Letras y numeros,C 26240,,,,,,
678,00004581,Letras y numeros,C 26315/1,,,,,,
679,00004582,Letras y numeros,C 26315/4,,,,,,
680,00004583,Letras y numeros,C 26392,,,,,,
681,00004584,Letras y numeros,C 26431,,,,,,
682,00004585,Letras y numeros,C 26523,,,,,,
683,00004586,Letras y numeros,C 26548,,,,,,
684,00004587,Letras y numeros,C 26550,,,,,,
685,00004588,Letras y numeros,C 26596,,,,,,
686,00004589,Letras y numeros,C 26690,,,,,,
687,00004590,Letras y numeros,C 26773,,,,,,
688,00004591,Letras y numeros,C 26790,,,N,,,12/05/2015
689,00004593,Letras y numeros,C 26853,,,,,26/04/2010,
690,00004594,Letras y numeros,C 26887,,,,,,
691,00004595,Letras y numeros,C 26965,,,,,,
692,00004596,Letras y numeros,C 26965/1,,,,,,
693,00004597,Letras y numeros,C 26966,,,,,,
694,00004600,Letras y numeros,C 26996,,,N,,,15/03/2014
695,00004601,Letras y numeros,C 27133,,,,,,
696,00004605,Letras y numeros,C 27272,,,N,,,23/01/2017
697,00004606,Letras y numeros,C 27321,,,,,,
698,00004607,Letras y numeros,C 27344,,,,,,
699,00004608,Letras y numeros,C 27502/1,,,,,,
700,00004609,Letras y numeros,C 27585,,,,,,
701,00004614,Letras y numeros,C 27970,,,,,,
702,00004615,Letras y numeros,C 28107/10,,,,,,
703,00004619,Letras y numeros,C 28248,,,,,,
704,00004620,Letras y numeros,C 28383,,,,,,
705,00004621,Letras y numeros,C 28487,,,,,,
706,00004622,Letras y numeros,C 28554,,,N,,30/07/2013,
707,00004623,Letras y numeros,C 28609,,,,,,
708,00004624,Letras y numeros,C 28684,,,,,,
709,00004626,Letras y numeros,C 28770,,,,,,
710,00004627,Letras y numeros,C 28771,,,,,,
711,00004628,Letras y numeros,C 28781,,,,,,
712,00004634,Letras y numeros,C 29122/1,,,,,,
713,00004635,Letras y numeros,C 29126,,,,,,
714,00004636,Letras y numeros,C 29198,,,N,,,25/06/2022
715,00004637,Letras y numeros,C 29200,,,,,,
716,00004638,Letras y numeros,C 29254,,,,,,
717,00004639,Letras y numeros,C 29289,,,,,,
718,00004640,Letras y numeros,C 29352/1,,,,,,
719,00004641,Letras y numeros,C 29496,,,,,,
720,00004642,Letras y numeros,C 29577,,,,,,
721,00004643,Letras y numeros,C 29624,,,N,,,14/07/2016
722,00004644,Letras y numeros,C 29897,,,,,,
723,00004648,Letras y numeros,C 30133,,,,,,
724,00004650,Letras y numeros,C 30195/2,,,,,,
725,00004651,Letras y numeros,C 30288,,,,,,
726,00004652,Letras y numeros,C 30375,,,,,,
727,00004653,Letras y numeros,C 30414,,,,,,
728,00004654,Letras y numeros,C 30421,,,,,,
729,00004655,Letras y numeros,C 30668,,,,,,
730,00004657,Letras y numeros,C 30703,,,,,,
731,00004658,Letras y numeros,C 30745,,,,,,
732,00004660,Letras y numeros,C 30880,,,,,,
733,00004661,Letras y numeros,C 30880/1,,,,,,
734,00004662,Letras y numeros,C 30945,,,,,,
735,00004663,Letras y numeros,C 31120,,,N,,25/06/2013,
736,00004664,Letras y numeros,C 31126,,,,,,
737,00004666,Letras y numeros,C 31154,,,,,,
738,00004667,Letras y numeros,C 31159,,,,,,
739,00004668,Letras y numeros,C 31190,,,,,,
740,00004671,Letras y numeros,C 31474,,,,,,
741,00004672,Letras y numeros,C 31524,,,,,,
742,00004673,Letras y numeros,C 31700,,,,,,
743,00004674,Letras y numeros,C 31727,,,,,,
744,00004675,Letras y numeros,C 31750,,,N,,15/07/2013,
745,00004676,Letras y numeros,C 31818,,,,,,
746,00004677,Letras y numeros,C 31852,,,,,,
747,00004678,Letras y numeros,C 32120,,,,S,,
748,00004681,Letras y numeros,C 32381,,,,,,
749,00004682,Letras y numeros,C 32549,,,,,,
750,00004683,Letras y numeros,C 32640/1,,,,,,
751,00004684,Letras y numeros,C 32698,,,,,,
752,00004685,Letras y numeros,C 32809,,,,,,
753,00004686,Letras y numeros,C 33130,,S,,,,
754,00004688,Letras y numeros,C 33922,,,,,,
755,00004689,Letras y numeros,C 33981,,,,,,
756,00004692,Letras y numeros,C 34109,,,,,,
757,00004695,Letras y numeros,C 34287,,,,,,
758,00004696,Letras y numeros,C 34430,,,,,,
759,00004697,Letras y numeros,C 34888,,,,,,
760,00004698,Letras y numeros,C 35118,,,,,,
761,00004699,Letras y numeros,C 35632,,,,,,
762,00004701,Letras y numeros,C 36188,,,,,,
763,00004702,Letras y numeros,C 36840,,,,,,
764,00004703,Letras y numeros,C 36840/1,,,,,,
765,00004704,Letras y numeros,C 36998,,,,,,
766,00004706,Letras y numeros,C 37114,,,,,,
767,00004707,Letras y numeros,C 37144,,,,,,
768,00004708,Letras y numeros,C 37145,,,,,,
769,00004710,Letras y numeros,C 37157,,,,,,
770,00004711,Letras y numeros,C 38163/1,,N,,,,13/05/2014
771,00004712,Letras y numeros,C 40174,,,,,,
772,00004713,Letras y numeros,C 40868,,,,,,
773,00004714,Letras y numeros,C 41173,,,,,,
774,00004715,Letras y numeros,C 42098,,,,,,
775,00004717,Letras y numeros,C 48183,,,,,,
776,00004718,Letras y numeros,C 54121,,,,,,
777,00004719,Letras y numeros,C 60345,,,,,,
778,00004720,Letras y numeros,C 221079,,,,,,
779,00004721,Letras y numeros,C 221113,,,,,,
780,00004722,Letras y numeros,C 221380,,,,,,
781,00004723,Letras y numeros,C 261252,,,,,,
782,00004724,Letras y numeros,C 261252/1,,,,,,
783,00004725,Letras y numeros,C 271104,,,,,,
784,00004726,Letras y numeros,C 271170,,,,,,
785,00004727,Letras y numeros,C 271318,,,,,,
786,00004729,Letras y numeros,C 271390,,,,,,
787,00004730,Letras y numeros,C 271520,,,,,,
788,00004731,Letras y numeros,C 271580,,,,,,
789,00004732,Letras y numeros,C 271925,,,,,,
790,00004733,Letras y numeros,C 281012,,N,N,S,,20/12/2013
791,00004734,Letras y numeros,C 281090,,,,,,
792,00004735,Letras y numeros,C 281226,,,,,,
793,00004736,Letras y numeros,C 281265,,,,,,
794,00004737,Letras y numeros,C 281413,,,,,,
795,00004738,Letras y numeros,C 291032/1,,,,,,
796,00004739,Letras y numeros,C 291410/1,,,,,,
797,00004740,Letras y numeros,C 301066,,,,,,
798,00004741,Letras y numeros,C 301094,,,,,,
799,00004742,Letras y numeros,C 301184,,,,,,
800,00004743,Letras y numeros,C 30122,,,,,,
801,00004744,Letras y numeros,C 301221,,,,,,
802,00004745,Letras y numeros,C 301359,,,,,,
803,00004746,Letras y numeros,C 301371,,,,,,
804,00004747,Letras y numeros,C 311032,,,,,,
805,00004748,Letras y numeros,C 311093/1,,,,,,
806,00004749,Letras y numeros,C 311160,,,,,,
807,00004750,Letras y numeros,C 311165,,,,,,
808,00004752,Letras y numeros,C 311226/1,,,,,,
809,00004753,Letras y numeros,C 311256,,,,,,
810,00004754,Letras y numeros,C 311276,,,,,,
811,00004755,Letras y numeros,C 311311,,,,,,
812,00004756,Letras y numeros,C 311352,,,N,,17/01/2017,
813,00004757,Letras y numeros,C 311440,,,,,,
814,00004758,Letras y numeros,C 311460,,,,,,
815,00004759,Letras y numeros,C 311461,,,,,,
816,00004760,Letras y numeros,C 311512,,,,,,
817,00004761,Letras y numeros,C 311590/1,,,,,,
818,00004762,Letras y numeros,C 311592,,,,,,
819,00004763,Letras y numeros,C 311641,,,,,,
820,00004764,Letras y numeros,C 311645,,,,,,
821,00004765,Letras y numeros,C 321160,,,N,,,02/04/2015
822,00004766,Letras y numeros,C 321500,,,,,,
823,00004767,Letras y numeros,C 321594,,,,,,
824,00004768,Letras y numeros,C 331015,,,,,,
825,00004769,Letras y numeros,C 331023,,,,,,
826,00004770,Letras y numeros,C 331053,,,,,,
827,00004771,Letras y numeros,C 331296,,,,,,
828,00004772,Letras y numeros,C 331300,,,,,,
829,00004773,Letras y numeros,C 331305,N,,N,S,21/08/2018,
830,00004774,Letras y numeros,C 331456,,,,,,
831,00004775,Letras y numeros,C 331465,,,,,,
832,00004776,Letras y numeros,C 331600/1,,,,,,
833,00004777,Letras y numeros,C 331605,,,,,,
834,00004778,Letras y numeros,C 331825,,,,,,
835,00004779,Letras y numeros,C 331825/1,,,,,,
836,00004780,Letras y numeros,C 331840,,,,,,
837,00004781,Letras y numeros,C 331912,,,,,,
838,00004782,Letras y numeros,C 331929,,,,,,
839,00004783,Letras y numeros,C 332139,,,,,,
840,00004784,Letras y numeros,C 332225,,,,,,
841,00004785,Letras y numeros,C 351039,,,,,,
842,00004786,Letras y numeros,C 351177,,,,,,
843,00004787,Letras y numeros,C 351592,,,,,,
844,00004788,Letras y numeros,C 351850,,,,,,
845,00004789,Letras y numeros,C 352194,,,,,,
846,00004790,Letras y numeros,C 361125,,,,,,
847,00004791,Letras y numeros,C 371053,,,,,,
848,00004792,Letras y numeros,C 371774,,,,,,
849,00004793,Letras y numeros,C 381723,,,,,,
850,00004794,Letras y numeros,C 402070,,,,,,
851,00004795,Letras y numeros,C 411776,,,,,,
852,00004797,Letras y numeros,C 421404,,,,,,
853,00004798,Letras y numeros,C 452666,,,,,,
854,00004799,Letras y numeros,C 453265,,,,,,
855,00004800,Letras y numeros,C 481047,,,,,,
856,00004801,Letras y numeros,C 641500,,,,,,
857,00004807,Letras y numeros,CF 504,,,,,,
858,00004809,Letras y numeros,CF 604,,,,,,
859,00004810,Letras y numeros,CF 604/1,,,,,,
860,00004812,Letras y numeros,CF 606,,,N,,,16/12/2014
861,00004814,Letras y numeros,CF 630,,,,,,
862,00004816,Letras y numeros,CF 705,,,,,,
863,00004819,Letras y numeros,CF 711,,,,,,
864,00004824,Letras y numeros,CF 807,,,,,,
865,00004825,Letras y numeros,CF 808,,,,,,
866,00004826,Letras y numeros,CF 811,,,,,,
867,00004829,Letras y numeros,CF 830,,,,,,
868,00004833,Letras y numeros,CF 908/1,,S,N,,24/09/2012,
869,00004835,Letras y numeros,CF 908/3,,,,,,
870,00004836,Letras y numeros,CF 910,,,,,,
871,00004837,Letras y numeros,CF 915,,,,,,
872,00004840,Letras y numeros,CF 923,,,N,,,04/07/2012
873,00004843,Letras y numeros,CF 930,,,,,,
874,00004847,Letras y numeros,CF 1112,,,,,,
875,00004848,Letras y numeros,CF 1122,,,N,,,05/03/2018
876,00004849,Letras y numeros,CF 1125,,,,,,
877,00004850,Letras y numeros,CF 1133,,,,,,
878,00004852,Letras y numeros,CF 1210,,,,,,
879,00004853,Letras y numeros,CF 1212,,,N,,,21/10/2016
880,00004857,Letras y numeros,CF 1313,,,,,,
881,00004860,Letras y numeros,CF 1514,,,,,,
882,00004862,Letras y numeros,CF 1600,,,N,,,01/03/2013
883,00004865,Letras y numeros,CF 2100/1,,,,,,
884,00004866,Letras y numeros,CF 2135,,,,,,
885,00004868,Letras y numeros,CU 2149,,,,,,
886,00004869,Letras y numeros,CU 2316,,,,,,
887,00004872,Letras y numeros,CU 2430,,,,,,
888,00004873,Letras y numeros,CU 2525,,,,,,
889,00004874,Letras y numeros,CU 2745,,,N,,,11/07/2014
890,00004875,Letras y numeros,CU 2861,,,,,,
891,00004876,Letras y numeros,CU 2882,,,,,,
892,00004877,Letras y numeros,CU 2897,,,,,,
893,00004878,Letras y numeros,CU 2939,,,,,,
894,00004879,Letras y numeros,CU 2940,,,,,,
895,00004880,Letras y numeros,CU 3054,,,N,,28/02/2017,
896,00004881,Letras y numeros,CU 3059,,,,,,
897,00004882,Letras y numeros,CU 3337,,,N,,,17/10/2011
898,00004883,Letras y numeros,CU 3340,,,,,,
899,00004884,Letras y numeros,CU 3435,,,,,,
900,00004885,Letras y numeros,CU 3562,,N,,,,22/07/2022
901,00004886,Letras y numeros,CU 3858,,,,,,
902,00004887,Letras y numeros,CU 4007,,,,,,
903,00004888,Letras y numeros,CU 4251,,,N,,,15/05/2018
904,00004895,Letras y numeros,H 54,,,,,,
905,00004896,Letras y numeros,H 55,,,,,,
906,00004897,Letras y numeros,H 56,,,,,,
907,00004898,Letras y numeros,H 57,,,,,,
908,00004899,Letras y numeros,H 61,,,,,,
909,00004900,Letras y numeros,H 66/10,,,,,,
910,00004901,Letras y numeros,H 76,,,,,,
911,00004902,Letras y numeros,H 50,,,N,,,14/05/2018
912,00004903,Letras y numeros,H 51,,,,,,
913,00004904,Letras y numeros,H 52,,,,,,
914,00004905,Letras y numeros,H 53,,,,,,
915,00004906,Letras y numeros,H 57,,,,,,
916,00004907,Letras y numeros,H 58,,,,,,
917,00004908,Letras y numeros,H 63,,,,,,
918,00004909,Letras y numeros,H 64x,,,,,,
919,00004910,Letras y numeros,H 65,,,,,,
920,00004911,Letras y numeros,H 66x,,,,,,
921,00004912,Letras y numeros,H 67,,,N,,,02/05/2014
922,00004913,Letras y numeros,H 68,,,,,,
923,00004914,Letras y numeros,H 69,,,,,,
924,00004915,Letras y numeros,H 79,,,,,,
925,00004916,Letras y numeros,H 88,,,,,,
926,00004917,Letras y numeros,H 182,,,,,,
927,00004918,Letras y numeros,H 203,,,,,,
928,00004919,Letras y numeros,H 406,,,,,,
929,00004920,Letras y numeros,H 407,,,,,,
930,00004921,Letras y numeros,H 409,,,,,,
931,00004922,Letras y numeros,H 410,,,,,,
932,00004923,Letras y numeros,H 506,S,,,,,
933,00004924,Letras y numeros,H 513,,,,,,
934,00004925,Letras y numeros,H 601,,,,,,
935,00004927,Letras y numeros,H 601n,,,,,,
