,Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
5642,00066719,TEE PVC SAN 50                                    ,04/09/2019,31/12/2019,,N,,
5643,00066720,TUBO PVC SANITARIO 40 X 6                         ,14/06/2021,14/06/2021,S,N,,
5644,00066721,CAPUCHON GOMA 40 X 32                             ,16/01/2015,15/01/2015,,N,,
5645,00066722,SET DE ANCLAJE TAZA/PISO                          ,04/04/2022,04/04/2022,S,N,,
5646,00066723,PL SUPERBOARD 1.20 X 2.40 X 45MM                  ,16/01/2015,15/01/2015,,N,,
5647,00066724,TERMINAL SO-HI 1/2                                ,08/03/2019,11/03/2019,,N,,
5648,00066725,TERMINAL SO-HE 1/2                                ,09/12/2019,17/12/2019,,N,,
5649,00066726,CODO SO-HI 1/2                                    ,04/10/2021,07/10/2021,S,N,,
5650,00066727,COPLA SO-SO 3/4 X 1/2                             ,16/01/2015,15/01/2015,,N,,
5651,00066744,RETEN MULTIPLIC                                   ,19/12/2014,19/12/2014,,N,,
5652,00066746,SIKA LATEX BIDON 4.5 LTS                          ,,,,,,
5653,00066760,NIPLE 1/2 BR                                      ,,,,,,
5654,00066761,EXTENSION MACHO-HEMBRA 5MTS                       ,,,,,,
5655,00066762,PULMON CABINA ARGOSY                              ,,,,,,
5656,00066763,MODULO ENCENDIDO BM-300                           ,,18/12/2014,,N,,
5657,00066772,BOLSA AIRE CABINA ARGOSY                          ,22/12/2014,20/12/2014,,N,,
5658,00066773,AMORT CABINA ARGOS                                ,22/12/2014,20/12/2014,,N,,
5659,00066774,TOPE ESTACIONAMIENTO 90X15X10CM.NEGRO AMARILLO    ,28/10/2021,29/10/2021,S,N,,
5660,00066775,PROTECTOR MURALLA 100X15X5 CM.NEGRO AMARILLO      ,,,,,,
5661,00066776,PROTECTOR MURALLA 100X20X3.5CM NEGRO AMARILLO     ,,,,,,
5662,00066777,TACHA AMARILLA SETASHAMA                          ,,,,,,
5663,00066778,TACHA ROJA SETASHROJ                              ,,,,,,
5664,00066794,REG. 24V NIPONDENSO ALTERNATIVA                   ,07/09/2019,,,N,,
