,Codigo,Descripcion,Grupo,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
140,00001010,"ESPATULA ACERO 2"" TRUPER M/MADERA                 ",ROTACION ,,,,N,,
141,00001011,PLATINA   304  50 MM X 3MM X 3MTS                 ,ROTACION ,,,,,,
142,00001013,"TAMIZ 8"" N�140 ACERO INOX                         ",ROTACION ,,,,,,
143,00001014,"TAMIZ 8"" N� 270 ACERO INOX                        ",ROTACION ,,,,,,
144,00001018,CORREA B-151 DAYCO                                ,ROTACION ,,,,,,
145,00001019,CORREA B-160 MITSUBA                              ,ROTACION ,,,,N,,
146,00001020,PISTOLA AIRE CALIENTE 2000W HG6020 MAKITA         ,ROTACION ,,,,,,
147,00001021,PISTOLA AIRE CALIENTE 1600W HG5012K MAKITA        ,ROTACION ,,,,,,
148,00001022,GOLILLA PLANA 5/8 INOX 304                        ,ROTACION ,,,,,,
149,00001024,CAJA HERRAMIENTA TACTIX PORTABLE 320360           ,ROTACION ,,,,,N,
150,00001027,CAJA SURTIDO TERMOCON.580 PZA                     ,ROTACION ,,,,,,
151,00001030,SURTIDO FUSIBLES MAXI                             ,ROTACION ,,,,,,
152,00001031,SURTIDO 40 PZA FUSIBLES MAXI                      ,ROTACION ,,,,N,,
153,00001032,DOBLAR TUBO 12 T FWYY-TMX                         ,ROTACION ,,,,,,
154,00001033,ORGANIZADOR KENDO PLAST.49.5X16X25.5CM 90247      ,ROTACION ,,,,,,
155,00001034,ORGANIZADOR KENDO PLAST. 38X31X7 CM 90223         ,ROTACION ,,,,,,
156,00001035,ORGANIZADOR KENDO PLAST.47.5X38X16 CM 90248       ,ROTACION ,,,,,,
157,00001038,BOLSA PLASTICA TRANSP.15X35 100UNI                ,ROTACION ,,,,,,
158,00001041,RODAMIENTO 6313 ZZ KOYO E-11                      ,ROTACION ,,,,,,
159,00001042,RODAMIENTO 6313 ZZ C3 NTN                         ,ROTACION ,,,,,,
160,00001043,RODAMIENTO 6211 ZZ C3 NTN                         ,ROTACION ,,,,,,
161,00001057,TESTER BATERIA BT521 DHC                          ,ROTACION ,,,,,,
