Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
00019271,COLECTOR ALT HY H100BENC ACCENT 1.6/EXCEL         ,02/05/2018,09/01/2023,,N,,
00019285,LETREROS PUBLICITARIOS APORTE LA SERENA           ,17/11/2011,14/09/2017,S,N,N,
00019345,BOMBA BEC 3BAR  MANDO S/FILTRO                    ,13/03/2019,08/05/2019,,,N,
00019350,CADENA DISTRIB NISS J15/16                        ,22/10/2015,19/06/2020,,N,N,
00019373,POLEA ALTERN CHRYSLER                             ,26/03/2019,08/11/2019,,,N,
00019446,FAROL 2 LED ROJO                                  ,,14/09/2019,,,N,
00019471,FAROL VEF104CC CRISTAL                            ,,,,,,
00019477,FAROL VEF132 VERDE                                ,,,,,,
00019591,CAJA REG 12V PG104                                ,18/03/2019,02/02/2021,,N,N,
00019611,ANILLO TOLERANCIA ROD 6203 BO492                  ,,,,,,
00019612,ANILLO TOLERACIA ROD 62201 BO586                  ,,,,,,
00019613,ANILLO TOLERANCIA BOSCH ER/IF/IR/IF               ,,,,,,
00019638,TAPABARRO DEL S/HOYO P7MOLDURA NISSAN SENTRA LX   ,18/01/2019,21/01/2019,,N,N,
00020325,GANCHO METALICO 25CM C/PRECIO                     ,04/09/2018,18/11/2021,,N,,
00023991,INTERRUPTOR BOTON PARTIDA CALENT REFORZADO        ,21/03/2019,23/07/2019,,,N,
00024016,SEGURO ELASTICO 6X20MM                            ,27/06/2018,28/01/2020,,,S,
00024663,TUERCA MU ON GOLPE 22 MM RH P1 HEX 32 ALT 21      ,12/03/2018,,,N,,
00024859,BOTON DE PARTIDA CON GOMA                         ,24/04/2017,24/05/2018,S,N,N,
00024911,BLOQUEADOR SOLAR FPS 50 LEBLON 190 GR             ,10/02/2016,10/02/2018,,N,,N
00024932,POLEA LIBRE POL6001                               ,11/01/2019,11/01/2019,,N,N,
00025022,PLACA DIODO JAC                                   ,08/04/2013,28/11/2015,,N,N,
00025184,FOCO BUSCA CAMINO                                 ,11/01/2018,11/11/2020,S,N,N,
00025190,FAROL FAENA                                       ,21/03/2013,07/05/2021,,N,N,
00025295,SENSOR OXIG 3VIAS 107 CM NISS D21                 ,23/11/2018,02/03/2019,,N,,
00025299,BANDEJA SUSPENCION RH INFERIOR C/ROTULA HYUN H-1 0,05/12/2018,07/12/2018,,N,N,
00025521,LUZ PILOTO AZUL 12V/220V TW                       ,,13/08/2016,,S,N,
00025826,RADIO SONY CDX 33U USB CD                         ,,,,N,,
00030315,PERFIL CUADRADO 40X40X2X6MTS                      ,10/02/2023,20/09/2022,S,N,,
00031831,SOLDADURA C/PASTA                                 ,,,,N,,
00033804,GANCHO METALICO 30CM C/PRECIO                     ,11/05/2017,28/09/2012,,N,,
00033805,CARTON PRECIO (100 UNIDADES)                      ,15/05/2017,06/12/2018,,N,,
00034455,REGULADOR GA427 (IM473)                           ,11/01/2023,25/01/2023,,N,S,
00034535,PIOLA REMOLQUE 4 MTS 6MM VE001                    ,,11/03/2016,,N,,
00034629,REPRODUCTOR DVD AVK-CV171                         ,,,,N,,
00034772,ZAPATO SEG N 41 NITRO 727                         ,20/04/2017,03/03/2017,,N,N,
00035128,FLASH 12V 3PATAS LARGO FR550                      ,03/03/2017,30/01/2023,,N,N,
00035598,DESODORANTE AMBIENTAL FLORAL FRESH GLADE 7 ML     ,,13/01/2016,,N,,
00035763,PARLANTE 110W 10CM 2 VIAS BOWMANN TS-1050         ,27/05/2011,,,N,,
00036014,FLEXIBLE ESC UNIV 2X4 REFORZ                      ,26/10/2017,26/12/2019,,N,,
00036048,BOTON PUERTA C/GOMA UNIVERSAL                     ,11/01/2018,23/11/2018,S,N,N,
00036061,INTERRUPTOR ALZA VIDRIO NEGRO                     ,03/12/2021,12/12/2022,S,N,S,
00036635,JG. NEBLINERO UNIVERSAL                           ,21/06/2016,30/04/2018,,,N,
00036757,FAROL TRASERO 28 LED 12V CHEV DMAX                ,21/06/2018,12/10/2012,,N,N,
00037848,SEGURO ELASTICO 7X70MM (PINES)                    ,27/06/2018,11/11/2019,,,N,
00037894,RODAM EMBR COMP CHANGAN/ST90/SJ410                ,18/10/2017,27/11/2020,,N,N,
00038557,MANGUERA RAD INF MAZDA 323                        ,25/03/2020,25/03/2020,,N,N,
00038565,DISCO FRENO TRAS CHEV CRUZE/ORLANDO/ASTRA         ,25/03/2020,02/04/2020,,N,N,
00040350,PERNO HEX INOX 304 10x60                          ,01/04/2014,03/09/2014,S,N,,
00040888,DSICPONIBLE                                       ,04/09/2014,10/03/2016,,,S,
00041115,TELECOMANDO HYUN H100                             ,12/01/2017,20/06/2017,S,N,N,
00042877,MOTOR LIMPIAPARABRISAS CTWPM7010                  ,19/07/2016,11/04/2017,,N,N,
00043078,BOCINA AIRE 2 CORNETA 24V H11C24V                 ,30/07/2021,18/02/2022,S,N,N,
00043129,CHAPA SIMPLE S/SEG                                ,08/02/2014,,,N,,
00043211,ANTENA PARA KIA #3 VEHICULOS ASIATICOS MACHO      ,10/06/2022,23/12/2022,,N,N,
00043310,TOR.AUT HEX METAL/MAD 10-12X3/4                   ,15/06/2012,15/06/2012,,,N,
00043459,PIOLA ACERO GALV 1/4                              ,06/03/2020,09/03/2020,,N,N,
00043908,CUALQUIER COSA                                    ,,,,,,
00043909,DSFDSF                                            ,,,,,,
00044420,SILENCIADOR CHEV CORZA                            ,08/04/2013,07/01/2014,,N,N,
00048415,CALEFONT 14LTS. SA14000A G.L. IONIZADO            ,03/03/2016,06/12/2013,,N,N,
00049432,AMPOLLETA H4 60/55W NIGHT RACER 12V PAR OSRAM     ,28/08/2012,,,S,N,
00049659,PL.FIRRO LISO 3MM 1 X 3                           ,,,,,,
00049660,PERFIL CUADRADO 40 X 40 X 2                       ,12/10/2022,13/10/2022,S,N,,
00049661,FAROL RECARGABLE HARD LED ENERGIZER               ,,,,,,
00049667,SOLDADURA MYH 170-LA 3/32 (E 7011)                ,04/09/2014,22/12/2015,,N,,
00049697,CAJA BIN INDUSTRIAL  3711                         ,,03/05/2018,,N,,
00049708,"LED 42""  LG                                       ",,29/09/2012,,N,,
00049709,FRIGO BAR 50 LTS                                  ,08/06/2020,10/06/2020,,N,,
00049733,PIPETA-MANGUERA VENTURI                           ,30/06/2015,,,N,,
00049735,AMPOLLETA HALURO METALICO 400W                    ,04/12/2015,03/12/2015,,N,,
00049736,KIT BALLAST  AMPOLLETA HALURO METALICO 400W       ,,26/11/2012,,N,,
00049743,EQ FLUORESCENTE 2 X 40  EKOLINE                   ,04/05/2019,08/01/2013,,N,,
00049744,BALLAST 400W SODIO EKOLINE                        ,,,,,,
00049745,BALLAST  70W  SODIO/HALURO VOSSLOH                ,,,,,,
00049746,AMPO 70W  SODIO TUB E-27 EKOLINE                  ,,,,,,
00049749,IGNITOR PZI 1000/1K 250-1000W VOSSLOH             ,,,,,,
00049751,BARRA HILO 2'' B-7                                ,21/10/2016,08/10/2016,,N,,
00049774,JGO NIEBLINERO TOY KUN                            ,,,,,,
00049780,TERMINAL HE PE 3/4                                ,,03/10/2012,,N,,
00049781,TAPA GORRO HI 3/4 VINILIT                         ,,03/10/2012,,N,,
00049788,UNIGRASS DESENGRASNTE                             ,29/11/2022,29/11/2022,S,N,,
00049793,ALIMENTO DE PERRO 10K                             ,13/10/2012,31/10/2012,,N,,
00049794,FILTRO BT-216                                     ,,09/12/2019,,,S,
00049860,SERVICIO ALINEACION Y BALENCEO 4X4                ,,24/06/2013,,N,,
00049868,FILTRO HIDRAULICO HF6588  2254118                 ,,,,,,
00049871,FILTRO SEC. AF26402 2453819                       ,,,,,,
00049874,FILTRO HIDRAULICO HF6520   LFP1652                ,,,,,,
00049895,FILTRO FF105D                                     ,28/05/2015,28/05/2015,,N,,
00049899,FILTRO AGUA WF2074                                ,07/03/2013,,,N,,
00049902,FILTRO SEPARADOR FS19753 VOE1111                  ,,,,,,
00049905,FILTRO HIDRAULICO HF6587                          ,17/04/2014,17/04/2014,,N,,
00049908,CRAYON MARCADOR BLANCO                            ,20/03/2015,04/01/2014,,N,N,
00049909,JGO GOLILLAS DE COBRE 1140 PZ                     ,13/06/2014,18/06/2014,,N,,
00049928,BANDERA CHILENA 40 X 60                           ,,,,,,
00049930,BALLAST 1 X 40   ECOLAN                           ,,25/09/2012,,N,,
00049944,ROLLO MANGA PLAST 2 A 4 X 65 MTS                  ,,,,,,
00049954,TALADRO ATOR GSR 18 V-LI                          ,,,,,,
00049971,BANDEJA DEL IZQ BVO FIAT FIORINO                  ,28/02/2015,28/02/2015,,N,,
00050016,RECTANGULAR 60X40X2 6MTS                          ,,,,,,
00050018,PERFIL 50X50X2 6MTS                               ,19/03/2021,19/03/2021,S,N,,
00050023,PLANCHA ZINC ACAN. .3X851X3.66                    ,18/08/2020,21/08/2020,,N,,
00050032,ANGULO LAMINADO 30X30X3                           ,30/06/2022,01/07/2022,S,N,,
00050034,TABLA  CEPILLADA 4 X 1                            ,22/06/2021,02/07/2021,S,N,,
00050035,TABLA CEPILLADA  2 X 1                            ,,,,,,
00050073,SOLD NIQUEL 99 1/8  INDURA                        ,13/05/2016,12/05/2016,,N,,
00050074,SOLD 99 3/32 INDURA                               ,,,,,,
00050088,MESA PLEGABLE 83 X 83 CMS                         ,,,,,,
00050102,PULSADOR EMERG. CA 22LO1 ROJO                     ,,10/10/2012,,N,,
00050154,SACO ARENA  GRUESA                                ,25/06/2022,28/06/2022,S,N,,
00050155,PIZARRA ACRILICA M/ALU 2 X1                       ,,12/10/2012,,N,,
00050160,CIERRAPUERTA HIDRAULICO HERMEX                    ,,28/01/2013,,N,,
00050161,UNION  DOBLE 1/2 P.E                              ,07/10/2020,08/10/2020,,N,,
00050162,ACOPLE JARDIN 1/2                                 ,02/09/2016,05/01/2017,,N,,
00050169,COSTANERA  80 X 40 X 2                            ,05/02/2016,05/02/2016,,N,,
00050173,CAM.10.00-16.5 TR15 KOREAN RUBBER                 ,30/01/2013,16/10/2012,,N,,
00050229,CORREA TRASM  5V X 1500 CARLISLE                  ,,,,,,
00050233,CORREA 3V-375                                     ,,11/10/2012,,N,,
00050264,CORONA FLORAL  RECT                               ,,21/01/2021,,N,,
00050273,SOPORTE MAGNETICO 60 CM                           ,,08/10/2012,,N,,
00050293,PERNO HEX 1 1/8 X 4 NF G8                         ,,,,,,
00050305,CORDON VF H05 3 X1.5 NEGRO                        ,12/07/2018,23/07/2021,,N,,
00050308,EXTENCION  50MTS                                  ,,,,,,
