Codigo,Tipo error,Descripcion,I.Industrial,I.La Serena,I.Matriz,I.Bodega,Ult. fecha compra,Ult.fecha venta
00003582,Letras y numeros,C 1010,,,,,,
00003583,Letras y numeros,C 1017,,,,,,
00003584,Letras y numeros,C 1022,,,,,,
00003585,Letras y numeros,C 1024,,,,,,
00003586,Letras y numeros,C 1038,,,,,,
00003588,Letras y numeros,C 1038/10,,,,,,
00003589,Letras y numeros,C 1040,,,,,,
00003591,Letras y numeros,C 1043/1,,,,,,
00003592,Letras y numeros,C 1045,,N,N,,,31/05/2019
00003593,Letras y numeros,C 1045,,,,,,
00003594,Letras y numeros,C 1049,,,,,,
00003595,Letras y numeros,C 1051,,,,,,
00003596,Letras y numeros,C 1077,,,,S,,
00003598,Letras y numeros,C 1090,,,,,,
00003599,Letras y numeros,C 1090,,,N,,,21/01/2019
00003600,Letras y numeros,C 1104,,,,,,
00003601,Letras y numeros,C 1105,,,,,,
00003602,Letras y numeros,C 1108,,,,,,
00003603,Letras y numeros,C 1108/1,,,,,,
00003604,Letras y numeros,C 1109,,,N,S,,20/09/2021
00003605,Letras y numeros,C 1110,,,S,,,
00003606,Letras y numeros,C 1111/1,,,,,,
00003608,Letras y numeros,C 1112/2,,,,,,
00003610,Letras y numeros,C 1114,,,,,,
00003611,Letras y numeros,C 1115,,,,,,
00003612,Letras y numeros,C 1116,,,,,,
00003613,Letras y numeros,C 1117,,,,,,
00003614,Letras y numeros,C 1118,,,,,,
00003615,Letras y numeros,C 1118/5,,,,,,
00003616,Letras y numeros,C 1119,,,,,,
00003617,Letras y numeros,C 1120,,,,,,
00003618,Letras y numeros,C 1120/5,,,,,,
00003619,Letras y numeros,C 1121,,N,N,,,10/08/2022
00003620,Letras y numeros,C 1123,,,,,,
00003621,Letras y numeros,C 1124,,,,,,
00003623,Letras y numeros,C 1125,,S,N,,,24/09/2019
00003624,Letras y numeros,C 1126,,,,,,
00003625,Letras y numeros,C 1127,,,N,,,05/11/2011
00003626,Letras y numeros,C 1128,,,,,,
00003627,Letras y numeros,C 1129,,,,,,
00003628,Letras y numeros,C 1131,,,,,,
00003629,Letras y numeros,C 1131/10,,,,,,
00003630,Letras y numeros,C 1132/10,,,,,,
00003631,Letras y numeros,C 1133,,,,,,
00003632,Letras y numeros,C 1134,,,,,,
00003633,Letras y numeros,C 1135,,,N,,,05/10/2020
00003634,Letras y numeros,C 1138,,,,S,,
00003637,Letras y numeros,C 1150,,,,S,,
