,Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
140,00200185,REP KIA SHEPIA 1.8                                                                                  ,,,,N,,
141,00200186,JGO EMP.ANILLOS STD TERIOS                                                                          ,,,,N,,
142,00200187,CARBURADOR SUZUKI ST90                                                                              ,,,,,,
143,00200188,RADIADOR RENAULT MEGANE 1.6 2003                                                                    ,,,,,,
144,00200190,PARACHOQUE TRASERO FIAT UNO FIRE 2009                                                               ,,,,,,
145,00200191,AMORT TRAS                                                                                          ,,,,N,,
146,00200192,BOBINA TOY RAV                                                                                      ,,,,N,,
147,00200195,RADIADOR                                                                                            ,,,,,,
148,00200196,PRENSA                                                                                              ,,,,,,
149,00200197,METAL BIELA                                                                                         ,,,,N,,
150,00200198,TENSOR MITSU                                                                                        ,,,,N,,
151,00200199,SENSOR FITA PUNTO                                                                                   ,,,,N,,
152,00200200,SENSOR POS EJE LEVA                                                                                 ,,,,N,,
153,00200201,CABLE BUJIAS KIA                                                                                    ,,,,,N,
154,00200202,JGO PASTILLAS PP 1729                                                                               ,,,,,,
155,00200203,OPTICO LH ACCENT 96                                                                                 ,,,,,,
156,00200204,OPTICO RH ACCENT 96                                                                                 ,,,,,,
157,00200205,PIOLA KTA KM CHEVETTE                                                                               ,,,,,N,
158,00200206,INDUCIDO D21                                                                                        ,,,,,N,
159,00200207,RADIADOR LEGACY                                                                                     ,,,,,,
160,00200208,OPTICO HYUNDAI I10 2012                                                                             ,,,,,,
161,00200212,KIT EMP MOTOR                                                                                       ,,,,N,,
162,00200213,ACEITE HIDRAULICO 46                                                                                ,,,,,,
163,00200215,REPARACION BAND TRAS IZQ FIAT BRAVA                                                                 ,,,,,,
164,00200216,AMORTIG DEL/TRAS..NEU 175*70*13                                                                     ,,,,N,,
165,00200217,REP FIAT PALIO SX 2003                                                                              ,,,,N,,
166,00200219,MAZA TRASERA CARENS                                                                                 ,,,,,,
167,00200220,REP.FIAT UNO                                                                                        ,,,,N,,
168,00200221,AMOR TRAS SANTA FE                                                                                  ,,,,N,,
169,00200222,PRENSA EMBRAGUE                                                                                     ,,,,,,
170,00200223,RODTO. EMBRAGUE                                                                                     ,,,,,,
171,00200224,REP SUBARU LEGACY 2.2                                                                               ,,,,N,,
172,00200225,RP KIA AVELLA                                                                                       ,,,,N,,
173,00200226,PARACHOQUE DEL NISSAN PLATINA                                                                       ,,,,,,
174,00200227,RADIADOR NIS  2.7 2006                                                                              ,,,,,,
175,00200228,RODAMIENTO EMBRAGUE                                                                                 ,,,,,,
176,00200229,PLUMA ELEVADORA 2 TON.                                                                              ,,,,,,
177,00200230,PRENSA EMBRAGUE                                                                                     ,,,,,,
178,00200231,REP.SUZ SJ413                                                                                       ,,,,N,,
179,00200233,DISCO                                                                                               ,,,,,,
180,00200234,REP NISS SD22                                                                                       ,,,,N,,
181,00200235,KIT EMB TUCSON                                                                                      ,,,,,,
182,00200236,CARBURADOR G20                                                                                      ,,,,,,
183,00200237,HOMOCI.RENAULT CLIO                                                                                 ,,,,N,,
184,00200238,AMORT TRAS                                                                                          ,,,,N,,
185,00200239,MODULO ENCENDIDO CHEVETTE                                                                           ,,,,,,
186,00200246,RODAMIENTO RUEDA DEL SAMSUMG 2004                                                                   ,,,,,,
187,00200247,JGO VALVULA ADM HYUN                                                                                ,,,,,,
188,00200248,JGO VALVULA ESC HYUN                                                                                ,,,,,,
189,00200249,RETEN VALVULA HYU                                                                                   ,,,,,,
190,00200250,JGO P�STONES STD RANGER 2.5                                                                         ,,,,,,
191,00200252,JG VALVULAS ADM                                                                                     ,,,,N,,
192,00200254,MOTOR DE PARTIDA NISSAN                                                                             ,,,,N,,
193,00200255,REP SUZ JIMNY                                                                                       ,,,,N,,
194,00200256,AMORTIG ES4621 DEL RH-LH SONATA 94-98             ,,,,,,
195,00200257,REP FIAT FIORINO 1.7 98                                                                             ,,,,N,,
196,00200258,RADIADOR MONTERO SPORT MECANICO                                                                     ,,,,,,
197,00200259,RADIADOR MITSUBISHI                                                                                 ,,,,,,
198,00200260,PARACHOQUE DEL                                                                                      ,,,,,,
199,00200261,PARACHOQUE DEL NISSAN SUNNY 1.3                                                                     ,,,,,,
200,00200264,GUIA CADENA CORTA MAZDA 323                                                                         ,,,,,,
201,00200265,GUIA CADENA LARGA MAZDA 323                                                                         ,,,,,,
202,00200266,JGO PISTONES TOY KUN35                                                                              ,,,,,,
203,00200267,CADENA DISTRIB MAZDA 323                                                                            ,,,,,,
204,00200268,TENSOR CADENA MAZDA 323                                                                             ,,,,,,
205,00200270,JGO PISTONES STD SEPHIA 1.8                                                                         ,,,,,,
206,00200271,JGO METAL BANCADA SEPHIA 1.8                                                                        ,,,,,,
207,00200272,MOTOR PARTIDA KIA                                                                                   ,,,,N,,
208,00200273,ROD TENSOR AUX SEPHIA 1.8                                                                           ,,,,,,
209,00200274,ROD TENSOR DIST. SEPHIA 1.8                                                                         ,,,,,,
210,00200275,ESPEJO LAT IZQ.FIAT PALIO                                                                           ,,,,N,,
211,00200276,JGO EMP SUZ BALENO                                                                                  ,,,,N,,
212,00200277,PARACH DELANTERO                                                                                    ,,,,,,
213,00200278,AJUSTE LADA                                                                                         ,,,,,,
214,00200279,BOBINA FORD                                                                                         ,,,,N,,
215,00200280,REP NISSA PLATINA                                                                                   ,,,,N,,
216,00200282,EXTREMO DIRECCION HIACE                                                                             ,,,,,,
217,00200283,CARTER FIAT FIORINO 2003 1.7                                                                        ,,,,,,
218,00200284,REPUESTO FIORINO                                                                                    ,,,,,,
219,00200285,ROD. LAT CORONA LADA 2105                                                                           ,,,,,,
220,00200286,AMORTIGUADOR FOX                                                                                    ,,,,,,
221,00200288,PUERTA DEL IZQ PUNTO 3P                                                                             ,,,,,,
222,00200290,REP TOY                                                                                             ,,,,,,
223,00200291,MATAPERRO SUNNY                                                                                     ,,,,,,
224,00200292,EJE LEVA D21                                                                                        ,,,,,,
225,00200293,OPTICO DEL DER                                                                                      ,,,,N,,
226,00200294,RADIADOR K2400 96                                                                                   ,,,,,,
227,00200295,JUEGO EMPAQ. MEGANE                                                                                 ,,,,,,
228,00200296,AMORTIG TRAS                                                                                        ,,,,N,,
229,00200297,JGO PASTILLAS                                                                                       ,,,,N,,
230,00200298,AJUSTE MOTOR MMARUTTI                                                                               ,,,,,,
231,00200299,BUJE BANDEJA TRASERA                                                                                ,,,,,,
232,00200300,RODAMIENTO RUEDA                                                                                    ,,,,,,
233,00200301,RODAMIENTO EMBRAGUE                                                                                 ,,,,,,
234,00200303,SENSOR VELOCIMETRO HYUNDAI SONATA                                                                   ,,,,,,
235,00200304,JGO EMPAQ. MOTOR YD25                                                                               ,,,,,,
236,00200305,KIT DIS. MEGANE K4M                                                                                 ,,,,,,
237,00200306,JUEGO V/V ADMISION SANTA FE                                                                         ,,,,,,
238,00200308,FIAT PUNTO                                                                                          ,,,,,,
239,00200309,SWIF                                                                                                ,,,,N,,
240,00200311,ESPEJO C3                                                                                           ,,,,,,
241,00200312,PARACHO DEL FIORINO                                                                                 ,,,,,,
242,00200313,RADIADOR FIAT SIENA                                                                                 ,,,,,,
243,00200314,RODAMIENTO SWIFT                                                                                    ,,,,,,
244,00200315,PIOLA EMB FIAT                                                                                      ,,,,,,
245,00200316,REP KIA RIO                                                                                         ,,,,N,,
246,00200317,ESPIRAL TERCEL 92                                                                                   ,,,,,,
247,00200318,AMORTIG 22132                                                                                       ,,,,N,,
248,00200319,JUEGO V/V ESCAPE SANTA FE                                                                           ,,,,,,
249,00200320,REP FIAT                                                                                            ,,,,N,,
250,00200321,BOMBA AGUA MEGANE                                                                                   ,,,,N,,
251,00200322,BOBINA SONIC                                                                                        ,,,,N,,
252,00200323,AMORT DEL LH KIA RIO                                                                                ,,,,,,
253,00200324,HOMOC MAZDA                                                                                         ,,,,,,
254,00200325,ANILLOS STD SUZ HAFEI                                                                               ,,,,,,
255,00200326,AMORTIGUADOR TRASERO LEGACY                                                                         ,,,,,,
256,00200327,CERCHA                                                                                              ,,,,,,
257,00200328,CARBURADOR                                                                                          ,,,,N,,
258,00200329,AJUSTE PUNTO 60                                                                                     ,,,,,,
259,00200330,BULBO TEMPERATURA                                                                                   ,,,,N,,
260,00200331,PARACHOQUE DEL TERCEL 95                                                                            ,,,,,,
261,00200332,JGO EMPA                                                                                            ,,,,N,,
